1:180,135,225,135,90,135,225,135,90,105,135,195,180,105,135,195,
2:180,135,135,135,90,135,225,135,90,105,135,195,180,105,135,195,
3:180,135,135,195,90,135,225,135,90,105,135,195,180,105,135,195,
4:180,105,135,195,90,135,225,135,90,105,135,195,180,105,135,195,
5:180,105,135,195,90,135,135,135,90,105,135,195,180,105,135,195,
6:180,105,135,195,90,135,135,195,90,105,135,195,180,105,135,195,
7:180,105,135,195,90,105,135,195,90,105,135,195,180,105,135,195,
8:180,105,135,195,90,105,135,195,90,135,135,195,180,105,135,195,
9:180,105,135,195,90,105,135,195,90,135,135,135,180,105,135,195,
10:180,105,135,195,90,105,135,195,90,135,225,135,180,105,135,195,
11:180,105,135,195,90,105,135,195,90,135,225,135,180,135,135,195,
12:180,105,135,195,90,105,135,195,90,135,225,135,180,135,135,135,
13:180,105,135,195,90,105,135,195,90,135,225,135,180,135,45,135,
