1:180,105,135,195,90,105,135,195,90,135,225,135,180,135,45,135,
2:180,109,145,191,90,109,145,191,90,134,225,136,180,134,45,136,
3:180,111,148,189,90,111,148,189,90,134,225,136,180,134,45,136,
4:180,112,151,187,90,112,151,187,90,134,224,137,180,134,46,137,
5:180,113,154,186,90,113,154,186,90,134,224,137,180,134,46,137,
6:180,114,156,185,90,114,156,185,90,134,223,138,180,134,47,138,
7:180,115,158,184,90,115,158,184,90,134,223,138,180,134,47,138,
8:180,116,160,183,90,116,160,183,90,134,222,138,180,134,48,138,
9:180,117,161,182,90,117,161,182,90,134,222,139,180,134,48,139,
10:180,117,163,181,90,117,163,181,90,134,222,139,180,134,48,139,
11:180,118,164,180,90,118,164,180,90,134,221,140,180,134,49,140,
12:180,118,166,179,90,118,166,179,90,134,221,140,180,134,49,140,
13:180,119,167,178,90,119,167,178,90,134,220,141,180,134,50,141,
14:180,120,169,178,90,120,169,178,90,134,220,141,180,134,50,141,
15:180,120,170,177,90,120,170,177,90,134,219,141,180,134,51,141,
16:180,121,171,176,90,121,171,176,90,134,219,142,180,134,51,142,
17:180,121,172,175,90,121,172,175,90,134,218,142,180,134,52,142,
18:180,121,173,175,90,121,173,175,90,134,218,143,180,134,52,143,
19:180,122,174,174,90,122,174,174,90,134,217,143,180,134,53,143,
20:180,122,175,173,90,122,175,173,90,134,217,144,180,134,53,144,
21:180,123,176,173,90,123,176,173,90,134,216,144,180,134,54,144,
22:180,123,178,172,90,123,178,172,90,134,216,144,180,134,54,144,
23:180,123,178,171,90,123,178,171,90,134,215,145,180,134,55,145,
24:180,124,179,171,90,124,179,171,90,134,215,145,180,134,55,145,
25:180,124,180,170,90,124,180,170,90,134,214,146,180,134,56,146,
26:180,125,181,170,90,125,181,170,90,134,214,146,180,134,56,146,
27:180,125,182,169,90,125,182,169,90,133,213,147,180,133,57,147,
28:180,125,183,169,90,125,183,169,90,133,213,147,180,133,57,147,
29:180,125,184,168,90,125,184,168,90,133,212,147,180,133,58,147,
30:180,126,185,167,90,126,185,167,90,133,212,148,180,133,58,148,
